execTime = 0; time = 0
execTime = 0.00807061; time = 6.61386
execTime = 0.00805882; time = 6.62192
execTime = 0.00797369; time = 6.62989
execTime = 0.00791469; time = 6.63781
execTime = 0.00826078; time = 6.64607
execTime = 0.00820394; time = 6.65427
execTime = 0.00829558; time = 6.66257
execTime = 0.00812831; time = 6.6707
execTime = 0.0082856; time = 6.67898
execTime = 0.00809242; time = 6.68708
execTime = 0.00840586; time = 6.69548
execTime = 0.00832953; time = 6.70381
execTime = 0.0108923; time = 6.7147
execTime = 0.0101604; time = 6.72486
execTime = 0.0084993; time = 6.73336
execTime = 0.00835146; time = 6.74171
execTime = 0.00990449; time = 6.75162
execTime = 0.0078132; time = 6.75943
execTime = 0.00785708; time = 6.76729
execTime = 0.00798375; time = 6.77527
execTime = 0.00794795; time = 6.78322
execTime = 0.0079765; time = 6.7912
execTime = 0.00801946; time = 6.79922
execTime = 0.00792545; time = 6.80714
execTime = 0.00804796; time = 6.81519
execTime = 0.0078596; time = 6.82305
execTime = 0.00788869; time = 6.83094
execTime = 0.00883133; time = 6.83977
execTime = 0.00782929; time = 6.8476
execTime = 0.00771917; time = 6.85532
execTime = 0.00790628; time = 6.86323
execTime = 0.00786787; time = 6.87109
